,PC1,PC2,PC3,cancer_type,condition
SRR2143668,-0.36273176142137536,0.004512984513139866,-0.0001557555257452671,Colorectal,Healthy
SRR2143669,-0.3670790643131063,0.1748151795967122,-0.03282581892322511,Colorectal,Healthy
SRR2143670,-0.3736418715155492,-0.011863677476977027,-0.12830573835992803,Colorectal,Cancer
SRR2143671,-0.3487829495746069,0.012722812763600407,-0.0721058781167306,Colorectal,Healthy
SRR2143672,-0.3545590511925706,0.07574509721343575,-0.07705755758963796,Colorectal,Cancer
SRR2143677,-0.2388675465296765,0.1290921783382895,-0.07691772573471618,Colorectal,Cancer
SRR2143679,-0.30634027977501466,-0.05049552791500453,-0.11225191196665059,Colorectal,Cancer
SRR2143680,-0.3377749977566185,0.1264313355813017,-0.09969685877793094,Colorectal,Cancer
SRR2143681,-0.3218398405815449,0.1357206071129948,-0.004404995383658139,Colorectal,Healthy
SRR2143682,-0.3400594219110945,-0.2581977305737267,-0.05038513662357463,Colorectal,Healthy
SRR2143683,-0.3399305532985813,0.20614557562867913,0.013194578868493555,Colorectal,Cancer
SRR2143685,-0.3951150226830837,-0.10107792914424524,-0.09791775235671331,Colorectal,Healthy
SRR2143686,-0.2957400247056118,0.24440996395596584,0.07897465675259097,Colorectal,Cancer
SRR2143687,-0.32473546488655297,-0.10107186342819521,-0.027950837074029077,Colorectal,Healthy
SRR2143689,-0.36387974579500854,-0.20883996445599215,-0.11500390332454394,Colorectal,Healthy
SRR2143691,-0.3555404564335626,-0.1943391957108571,-0.034698981932089215,Colorectal,Cancer
SRR2143692,-0.29000039733564054,-0.26389111648541763,0.05372163461279935,Colorectal,Cancer
SRR2143693,-0.3692617537891632,-0.09303017256651543,-0.06559763503765595,Colorectal,Cancer
SRR2143694,-0.3949945818193681,0.025796646581066535,-0.0372438125711797,Colorectal,Healthy
SRR2143695,-0.3254063379258483,-0.28396841229520015,0.02393417139195026,Colorectal,Healthy
SRR2143696,-0.29552632200650575,-0.1457694572503809,-0.10600273169043707,Colorectal,Cancer
SRR2143697,-0.3482779223575368,0.05302297458038523,-0.03282286229377498,Colorectal,Healthy
SRR2143698,-0.34906342181854066,-0.24170323299869234,-0.08427918722713214,Colorectal,Healthy
SRR2143699,-0.344858815588495,-0.18685312762297043,-0.09354673992221145,Colorectal,Healthy
SRR2143700,-0.3461742763125762,-0.23132898141625063,-0.011253174562262132,Colorectal,Healthy
SRR2143703,-0.33013210274175464,-0.27853851753438486,-0.04947963944576741,Colorectal,Cancer
SRR2143704,-0.3624201436734686,-0.3286038301082087,0.016155349306863465,Colorectal,Cancer
SRR2143705,-0.29349398708994073,-0.19116624136678134,0.005971043734002182,Colorectal,Healthy
SRR2143706,-0.35780717118890887,0.04593028022264164,-0.08238934781662344,Colorectal,Cancer
SRR2143709,-0.34794055334041873,-0.27807869313988526,-0.012800571691619073,Colorectal,Cancer
SRR2143711,-0.40541597476916924,-0.13774975861107522,-0.07362944345100683,Colorectal,Healthy
SRR2143713,-0.38760107508693337,0.12016698628522703,-0.0060245019902041026,Colorectal,Healthy
SRR2143716,-0.3750409289755532,-0.18765755685691607,-0.04605692186410827,Colorectal,Healthy
SRR2143717,-0.3628647385861248,-0.28492831311827344,-0.021834068544401588,Colorectal,Healthy
SRR2143722,-0.25380143605620004,-0.007173868013190386,0.06508341610564657,Colorectal,Healthy
SRR2143723,-0.3430540030243083,-0.2470167411101718,-0.019410186398030695,Colorectal,Cancer
SRR2143725,-0.333416163538417,-0.16218891332497204,-0.00197153234477675,Colorectal,Cancer
SRR2143726,-0.33909983552569795,-0.2691514729497419,0.010058140087218493,Colorectal,Healthy
SRR2143727,-0.31279301341899324,0.05881849012437197,-0.005815796417954735,Colorectal,Healthy
SRR2143729,-0.3816416891241002,-0.3085470818555107,-0.04424247422664051,Colorectal,Cancer
SRR2143730,-0.39359635825447936,-0.08567354415934737,-0.09481681409964458,Colorectal,Healthy
SRR2143731,-0.39457143661613125,-0.014046351465144857,-0.07702021477465452,Colorectal,Healthy
SRR2143733,-0.38638016170694445,-0.24790028912353143,-0.07437838817292945,Colorectal,Healthy
SRR2143735,-0.3413958094855502,-0.3311771688270634,0.03896152745297763,Colorectal,Cancer
SRR2143736,-0.4041531253024215,0.008620134612850064,-0.019287016081360246,Colorectal,Cancer
SRR2143737,-0.30055736650935555,-0.3006428222216207,0.03514604937795838,Colorectal,Cancer
SRR2143738,-0.3875021153044634,-0.15506516328413125,-0.044780725490279144,Colorectal,Healthy
SRR2143740,-0.38482423071366223,-0.10323024316484056,-0.07827230099096538,Colorectal,Healthy
SRR2143741,-0.33714222852276793,0.004491082139235213,-0.12839523479138598,Colorectal,Cancer
SRR2143742,-0.355759977920486,-0.038067316823174414,-0.07813722561956925,Colorectal,Healthy
SRR2143745,-0.36866033234240764,-0.28186570038787084,-0.03577452562172827,Colorectal,Cancer
SRR2143747,-0.3524148429726277,-0.30723065153506096,0.01836734609892778,Colorectal,Cancer
SRR2143748,-0.36180527744229285,-0.2416568889370682,-0.0805800653481307,Colorectal,Cancer
SRR2143749,-0.35621980238005124,-0.25059597381030957,-0.0733589639982154,Colorectal,Healthy
SRR2143751,-0.282368121974407,-0.27998143451104646,0.08080985674750508,Colorectal,Healthy
SRR2143752,-0.30252480762913225,0.05260660579517514,-0.10965578999854604,Colorectal,Healthy
SRR2143753,-0.36917336519439564,-0.1274493606981361,-0.04788911896930077,Colorectal,Cancer
SRR2143754,-0.3355889814171754,-0.27945217287176416,0.03692893772452367,Colorectal,Healthy
SRR2143755,-0.3219109905054426,-0.26784044047488975,0.040021929406689374,Colorectal,Cancer
SRR2143758,-0.3788339012133831,0.016066163778309304,-0.04734114923124881,Colorectal,Cancer
SRR2143759,-0.3841160308063144,-0.039322353418224175,-0.1371270969070207,Colorectal,Healthy
SRR2143764,-0.3724944025964055,-0.2695520162155854,0.011290265622170403,Colorectal,Healthy
SRR2143765,-0.35588382842990984,-0.0888901564266856,-0.10524925984273989,Colorectal,Cancer
SRR2143767,-0.35541726989078987,-0.3460225304619613,0.026265588512673937,Colorectal,Cancer
SRR2143768,-0.3519512822804773,-0.2283243169280942,-0.07400630591781515,Colorectal,Healthy
SRR2143769,-0.3526068879511663,-0.2906404061778283,0.005917598957745963,Colorectal,Cancer
SRR2143770,-0.37164932082186913,-0.30194610706113206,-0.023613442791096513,Colorectal,Healthy
SRR2143771,-0.38281362497451976,-0.2114151728818231,-0.08115029482232199,Colorectal,Healthy
SRR2143772,-0.40522464939101555,-0.21210878048102344,-0.0535957336280808,Colorectal,Cancer
SRR2143774,-0.3658187279355813,-0.21560068480898784,-0.012253810744854899,Colorectal,Healthy
SRR2143775,-0.37486633472773123,-0.2284468525644303,-0.0053653539080463055,Colorectal,Healthy
SRR2143776,-0.37692793860224755,-0.30869211225975435,-0.02394286184392966,Colorectal,Healthy
SRR2143777,-0.35292842953282805,0.18296386209766702,-0.05734177014633761,Colorectal,Cancer
SRR2143778,-0.4084349367376953,-0.05136510872487323,-0.08736482017334336,Colorectal,Healthy
SRR2143779,-0.4084009291279292,-0.08689207174976922,-0.06759865123315775,Colorectal,Cancer
SRR2143780,-0.3666090408832226,-0.3151458182194568,-0.006516167252660502,Colorectal,Healthy
SRR2143782,-0.3762126870766692,-0.3192635935658113,-0.013705820044741164,Colorectal,Cancer
SRR2143783,-0.28443599437965666,0.002776081813211124,-0.032908081254780425,Colorectal,Healthy
SRR2143784,-0.2544014172232063,0.1345029398537832,0.03993826452801891,Colorectal,Healthy
SRR2143785,-0.4168733892874133,-0.17471387678572983,-0.06690634044842346,Colorectal,Healthy
SRR2143786,-0.3540705709547791,-0.2930728103906923,-0.027935219391893078,Colorectal,Cancer
SRR2143787,-0.34753302926536406,-0.2780759346835356,-0.004702868803862201,Colorectal,Cancer
SRR2143788,-0.3135983332310305,0.08848366841699577,-0.07490722504593109,Colorectal,Healthy
SRR2143790,-0.3863156642704417,-0.2529972023859064,-0.03954181459463615,Colorectal,Cancer
SRR2143791,-0.375744077037606,-0.23971348291802644,-0.04795371578205654,Colorectal,Cancer
SRR2143792,-0.3839467563815504,0.1650128272621051,-0.04769017132032329,Colorectal,Cancer
SRR2143793,-0.39002615046356504,0.15819792454372716,-0.06032881519997767,Colorectal,Cancer
SRR2143794,-0.3645777008256838,-0.10612932539902116,-0.11695716962457814,Colorectal,Cancer
SRR2143795,-0.27784668150376424,-0.2796613915486404,0.09286554672759009,Colorectal,Cancer
SRR2143796,-0.38808838792144756,-0.3143534135726222,-0.010125611099555629,Colorectal,Cancer
SRR2143798,-0.34716910516104676,-0.28005405870613104,0.029203445288499223,Colorectal,Cancer
SRR2143799,-0.36752078727622695,0.08431634092532346,-0.07565282227151866,Colorectal,Cancer
SRR2143529,-0.3442274581077017,0.1129908969593172,-0.042475834106901034,Colorectal,Cancer
SRR2143532,-0.3194377452356497,0.05131099225582447,-0.04773501172213015,Colorectal,Healthy
SRR2143541,-0.34786803508576797,-0.023498169152786512,-0.08299634153309184,Colorectal,Cancer
SRR2143548,-0.1985706523877184,0.04562415053122481,-0.04608903026595437,Colorectal,Cancer
SRR2143550,-0.2909997571529878,0.15309158175844595,-0.08227552222508801,Colorectal,Healthy
SRR2143554,-0.35501790446068626,0.12153677730191897,-0.05715984713702055,Colorectal,Cancer
SRR2143561,-0.34738295792689367,-0.09483349656307843,-0.06593826687233585,Colorectal,Healthy
SRR2143563,-0.3928065203922635,-0.09904178049897916,-0.0901698500646488,Colorectal,Cancer
SRR2143566,-0.38842826587589896,-0.005058890743339773,-0.1242924337035364,Colorectal,Cancer
SRR2143570,-0.35631308276812645,-0.21744207515124667,-0.020977598422057597,Colorectal,Healthy
SRR2143575,-0.33807865827071987,0.06592508248335409,-0.08678145533213777,Colorectal,Cancer
SRR2143577,-0.364470207664672,-0.04239662529149313,-0.09943438263957692,Colorectal,Cancer
SRR2143579,-0.3611413834921107,-0.15550374941890074,-0.10657282428544557,Colorectal,Cancer
SRR2143581,-0.37810713853687117,-0.12727825852107016,-0.08658020961600842,Colorectal,Healthy
SRR2143586,-0.1808041885431263,-0.017348569434145502,0.005452049309621994,Colorectal,Cancer
SRR2143588,-0.2752869096206323,-0.09074940550159116,-0.08534663358018528,Colorectal,Cancer
SRR2143590,-0.33133504885217435,0.1016594273639186,-0.10962904979740892,Colorectal,Cancer
SRR2143592,-0.37618346407660364,-0.05710584912724396,-0.04139578851405763,Colorectal,Healthy
SRR2143596,-0.3672484129396026,-0.0980570103821867,-0.13637569591730284,Colorectal,Healthy
SRR2143599,-0.3314052726711605,0.0907283304983103,-0.02990321076567252,Colorectal,Healthy
SRR2143601,-0.3070376879897806,-0.02667833744335108,-0.08311969876020042,Colorectal,Cancer
SRR2143603,-0.28744110533867573,-0.05568629675573562,-0.03332716403875115,Colorectal,Healthy
SRR2143606,-0.33079555622166085,-0.15425002336351934,-0.05198873083111743,Colorectal,Cancer
SRR2143613,-0.3180402928320299,0.03676282015622898,-0.06083276893511403,Colorectal,Healthy
SRR2143616,-0.339444701025521,-0.17455573381828962,-0.031030729165402383,Colorectal,Healthy
SRR2143620,-0.3789335854421464,0.04152999980882542,-0.07185868537965896,Colorectal,Cancer
SRR2143628,-0.4225076361949948,-0.05304599703893114,-0.04909432131760288,Colorectal,Healthy
SRR2143631,-0.3255705278016517,-0.033995265030179564,-0.05262229802788727,Colorectal,Cancer
SRR2143632,-0.35423228175583754,-0.021106690631805165,-0.1321551127326762,Colorectal,Cancer
SRR2143635,-0.2989682185264147,-0.02136363343430105,-0.1414046612451035,Colorectal,Healthy
SRR2143639,-0.2521862360609178,0.046309082622918434,-0.08951576381212206,Colorectal,Healthy
SRR2143645,-0.35534298882400145,0.20213513526946855,-0.004226464463081386,Colorectal,Cancer
SRR2143649,-0.25334224093311686,-0.03945402365699305,-0.04246617115524084,Colorectal,Healthy
SRR2143655,-0.35968296720069387,0.1248604116661379,-0.026664317180747875,Colorectal,Cancer
SRR2143658,-0.3458533935306498,0.06328834589427602,-0.1267834468406214,Colorectal,Healthy
SRR2143660,-0.32188090220381244,0.029101754654874416,-0.13024980399816977,Colorectal,Cancer
SRR2143673,-0.36520818070635014,-0.06846177932128197,-0.07936608860274981,Colorectal,Cancer
SRR2143674,-0.28114524426335463,0.06129973567851173,-0.030557846176287574,Colorectal,Healthy
SRR2143675,-0.31879061669196496,-0.1059864447206595,-0.035387970445817464,Colorectal,Cancer
SRR2143676,-0.3326021268076889,-0.09673384390142756,-0.045187773676883744,Colorectal,Cancer
SRR2143684,-0.2843032735828887,0.09847962328462255,-0.027271300179126743,Colorectal,Healthy
SRR2143688,-0.3543444273052581,-0.2103786031132056,-0.11037156495316043,Colorectal,Cancer
SRR2143690,-0.34760289329978183,-0.21204121437381274,-0.04431016378563463,Colorectal,Cancer
SRR2143701,-0.2352310732827727,0.05247017514862293,0.07159934632863203,Colorectal,Healthy
SRR2143702,-0.34166798645172286,0.03921149790484049,-0.09263829843596874,Colorectal,Cancer
SRR2143707,-0.29066189395702346,-0.19423746387305377,0.010468197516146756,Colorectal,Healthy
SRR2143708,-0.2878467433946309,-0.1541717857950152,-0.004888763585464085,Colorectal,Healthy
SRR2143710,-0.39883164553593736,-0.16503172219101608,-0.09586793864765872,Colorectal,Healthy
SRR2143712,-0.34246602442186264,-0.021050770981273576,-0.09419371123523156,Colorectal,Cancer
SRR2143714,-0.3071250937982728,-0.06548678680730714,-0.10128631855460112,Colorectal,Healthy
